model,image_index,IoU,Dice,Boundary_F1
Model A (Baseline U-Net),111,0.99140888575975,0.9956859026497672,0.7787423906335899
Model A (Baseline U-Net),112,0.9709083728927904,0.9852394519061186,0.6216106257142949
Model A (Baseline U-Net),113,0.978176285728538,0.988967737461571,0.6777300219523713
Model A (Baseline U-Net),114,0.9853870951619352,0.9926397472528856,0.7022734607289827
Model A (Baseline U-Net),115,0.984560882063753,0.9922203564188679,0.6704525644369714
Model A (Baseline U-Net),116,0.9895107152078492,0.9947276777989271,0.8375259187823584
Model A (Baseline U-Net),117,0.9440777044297748,0.9712342079689018,0.7715506274049551
Model A (Baseline U-Net),118,0.7443184355047551,0.8534184861903908,0.5150331143220885
Model A (Baseline U-Net),119,0.9670851020361837,0.9832669782470718,0.7455165049591067
Model A (Baseline U-Net),120,0.9710584463411464,0.985316637480675,0.7988888950760196
Model A (Baseline U-Net),121,0.9683837748421519,0.983937882096716,0.7284540870470793
Model A (Baseline U-Net),122,0.9511025673378807,0.9749384683858745,0.6415875311187871
Model A (Baseline U-Net),123,0.921124467555069,0.9589428889741202,0.5775738214812883
Model A (Baseline U-Net),124,0.9119826094671931,0.9539652286325141,0.42532792939305136
Model A (Baseline U-Net),125,0.987351714425004,0.9936355905408794,0.7123768809397444
Model A (Baseline U-Net),126,0.0005861664712778429,0.0005861664712778429,0.0
Model A (Baseline U-Net),127,0.9875098038393303,0.993715642310736,0.5021426247855333
Model A (Baseline U-Net),128,0.9893605972836058,0.9946518377298733,0.529824404356644
Model A (Baseline U-Net),129,0.9892718435489901,0.9946069829214733,0.12226203092600481
Model A (Baseline U-Net),130,0.9932361805211155,0.9966066076411617,0.06897342053539808
Model A (Baseline U-Net),131,0.9942279667030359,0.9971056246150078,0.10363268074094836
Model A (Baseline U-Net),132,0.9925107207715903,0.9962412781569051,0.12335842568308314
Model A (Baseline U-Net),133,0.9930794791678589,0.9965277179603501,0.09880010120287093
Model A (Baseline U-Net),134,0.9857231698988566,0.9928102477985947,0.11002854045578944
Model A (Baseline U-Net),135,0.9937166183427438,0.9968484018125038,0.09727866503432489
Model A (Baseline U-Net),136,0.9911866708889253,0.9955738223205818,0.12332396907683571
Model A (Baseline U-Net),137,0.9818393391961237,0.9908364440012398,0.10247634564029054
Model A (Baseline U-Net),138,0.9952041074311052,0.9975962850614868,0.7560205218741584
Model A (Baseline U-Net),139,0.8379975656127715,0.9118590357555292,0.6408382285189
Model A (Baseline U-Net),140,0.9000818716351998,0.9474136400196379,0.6014222489681851
Model A (Baseline U-Net),141,0.9794718267972561,0.9896294485999656,0.5886879309669113
Model A (Baseline U-Net),142,1.0,1.0,1.0
Model A (Baseline U-Net),143,0.8708713196831565,0.930979045070324,0.5085825931399304
Model A (Baseline U-Net),144,0.8816482808294477,0.9371017865147601,0.549043154347875
Model A (Baseline U-Net),145,0.8097836862041259,0.8948949468391799,0.48397333830915756
Model A (Baseline U-Net),146,0.9059612096545792,0.9506604292790314,0.6758380888581306
Model A (Baseline U-Net),147,0.8923371688983666,0.9431055687441009,0.6536576561830355
Model A (Baseline U-Net),148,0.9138208998974058,0.9549697884039547,0.7231651891806002
Model A (Baseline U-Net),149,0.9565484262365285,0.9777915587494984,0.8821887685204493
Model A (Baseline U-Net),150,0.9441710286754665,0.9712837096325778,0.8278390804791564
Model A (Baseline U-Net),151,0.8979436303347952,0.9462275449101797,0.7358939458533996
Model A (Baseline U-Net),152,0.6722182644357587,0.8039816232771823,0.4718205484507062
Model A (Baseline U-Net),153,0.6488748484077196,0.7870497325863306,0.5038403916725055
Model A (Baseline U-Net),154,0.8247244219825699,0.9039430353521034,0.6332368087816391
Model A (Baseline U-Net),155,0.8771276038940647,0.9345416016060674,0.782174132348917
Model A (Baseline U-Net),156,0.8770310614800658,0.9344872239999249,0.5026333113314772
Model A (Baseline U-Net),157,0.9672928413008043,0.9833744595114663,0.7923956815241516
Model A (Baseline U-Net),158,0.9402882886172553,0.9692251957241794,0.6929594199984824
Model A (Baseline U-Net),159,0.9515951190826227,0.9751971562419077,0.757835449299237
Model A (Baseline U-Net),160,0.9764740889521206,0.9880969743732092,0.8666124457309357
Model A (Baseline U-Net),161,0.9779244403411428,0.9888389762360313,0.8938278185835795
Model A (Baseline U-Net),162,1.0,1.0,1.0
Model A (Baseline U-Net),163,0.9687763210508853,0.9841404970463297,0.7839545947777001
Model A (Baseline U-Net),164,0.9719028939508684,0.9857512114922391,0.7982036283284328
Model A (Baseline U-Net),165,0.962132464638963,0.9807007432385934,0.7894365864469672
Model A (Baseline U-Net),166,0.9773775442012425,0.9885593167300174,0.8642073523322013
Model A (Baseline U-Net),167,1.0,1.0,1.0
Model A (Baseline U-Net),168,0.9571055311288807,0.9780826116943827,0.6919558337545277
Model A (Baseline U-Net),169,1.0,1.0,1.0
Model A (Baseline U-Net),170,0.9782736472371133,0.9890174796762519,0.7000669697309794
Model A (Baseline U-Net),171,0.9766947155839785,0.9882099326719725,0.7054169171541709
Model A (Baseline U-Net),172,0.9857417400280297,0.9928196502379363,0.8747215176316454
Model A (Baseline U-Net),173,1.0,1.0,1.0
Model A (Baseline U-Net),174,0.9585304421203366,0.9788261176101942,0.4903153411533018
Model A (Baseline U-Net),175,0.9692902890210995,0.9844056447405783,0.6255121451812466
Model A (Baseline U-Net),176,0.9891852253133113,0.9945631957913755,0.8024692187952754
Model A (Baseline U-Net),177,0.9914660164583968,0.9957147133426811,0.5907981530625421
Model A (Baseline U-Net),178,0.9470741113346747,0.972817615803932,0.7162016957529791
Model A (Baseline U-Net),179,0.9446332460690418,0.9715283149026904,0.6463009711644105
Model A (Baseline U-Net),180,0.9271220143264416,0.9621828368259441,0.5280675922252307
Model A (Baseline U-Net),181,0.9378758000905153,0.967941981116338,0.6060502858366387
Model A (Baseline U-Net),182,0.9284273563074614,0.9628853357549418,0.5919886309368273
Model A (Baseline U-Net),183,0.9282043602314107,0.9627653921304131,0.5816671980889652
Model A (Baseline U-Net),184,0.9386696711872551,0.9683645998034272,0.6360123501185209
Model A (Baseline U-Net),185,1.0,1.0,1.0
Model A (Baseline U-Net),186,0.9171014589079791,0.9567582091363342,0.6592194009624943
Model A (Baseline U-Net),187,0.821688962844569,0.9021171493302405,0.4371567558915958
Model A (Baseline U-Net),188,0.912352444692764,0.9541673918989482,0.6676296812034614
Model A (Baseline U-Net),189,0.9425390670142143,0.9704194814981293,0.8411036965035409
Model A (Baseline U-Net),190,1.0,1.0,1.0
Model A (Baseline U-Net),191,0.902689732804076,0.9488556749182625,0.8566159249726409
Model A (Baseline U-Net),192,0.8922184475354143,0.9430386178861788,0.8429697415858244
Model A (Baseline U-Net),193,0.8497002081456398,0.9187423369556089,0.8090697773318567
Model A (Baseline U-Net),194,0.83810888252149,0.9119236830065913,0.7697977961344743
Model A (Baseline U-Net),195,0.8802173135105241,0.9362920667877844,0.8295957424343704
Model A (Baseline U-Net),196,0.8855710198964997,0.9393123199399942,0.8324464789683186
Model A (Baseline U-Net),197,0.8685465853511262,0.9296482412060302,0.8206665359766014
Model A (Baseline U-Net),198,0.8358489537925021,0.9105844290760143,0.737294551314893
Model A (Baseline U-Net),199,0.9772978304760829,0.9885185589349463,0.6003254598738921
Model A (Baseline U-Net),200,0.9722030254165707,0.9859055855930685,0.4177935772943761
Model A (Baseline U-Net),201,0.9410831394118891,0.969647369398316,0.3901335438270692
Model A (Baseline U-Net),202,0.7635293861747945,0.8659097636785239,0.6170626904254727
Model A (Baseline U-Net),203,0.7271047841560488,0.8419901843578934,0.6346363696331426
