transition,IoU,Dice,Precision,Recall,F1,Accuracy,Boundary_F1
Model A (Baseline U-Net) -> Model B (Attention U-Net),0.0096,0.01,-0.0113,0.0068,-0.0021,-0.0017,-0.0006
Model B (Attention U-Net) -> Model C (Proposed),0.0041,0.0047,-0.0013,-0.003,-0.0022,-0.0014,-0.0076
